fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Aug,18,MAHARASHTRA,1806,NASHIK,1018719,299.5780072,30,423,1171.827886,8364,65,49077,1630758,21370,10881,636821,192692,200.04222,6257.262425,53554,83441,174510,489257,1611,691920,1473532,57441,4885.392319,573686,81,35.75,14.17,100.67,NA
2024-2025,Aug,18,MAHARASHTRA,1809,AHMEDNAGAR,917771,326.9785775,29,92,717.8373281,3224,72,39779,1126456,64026,31795,43396,24576,115.71484,4516.821973,38530,63107,145118,419105,1227,767252,1899250,43003,3683.269805,448092,91,71.03,0.13,104.66,NA
2024-2025,Aug,18,MAHARASHTRA,1814,KOLHAPUR,180963,301.237959,26,25,70.19454,524,278,11362,325516,33766,17983,509,295,29.22621,1079.998505,12471,19989,44927,109034,273,356039,629182,11886,980.5777547,128386,92,44.48,0.06,112.83,NA
2024-2025,Aug,18,MAHARASHTRA,1818,BEED,4493149,363.5122767,35,468,1195.422418,1086,84,72038,5336175,91216,15466,10093,1847,78.94088,20672.01453,148565,254764,256957,629388,8122,677392,1402177,73124,19397.65123,2183787,80,41.62,5.55,317.83,NA
2024-2025,Aug,18,MAHARASHTRA,1819,NANDED,2149009,300.9947602,37,184,592.4563059,2505,86,50494,3421728,343136,76005,248248,38030,178.9969,11070.6752,90426,143294,175635,467110,4767,656726,1486823,52999,10299.22199,1441849,86,54.27,1.77,110.15,NA
2024-2025,Aug,18,MAHARASHTRA,1822,BULDHANA,651794,300.5139932,20,129,394.6550768,4365,21,29665,1066678,74348,32519,24434,7328,43.65852,3643.830249,52724,74592,118464,287098,238,482399,1005437,34030,3205.516652,369685,93,39.61,0.95,99.87,NA
2024-2025,Aug,18,MAHARASHTRA,1823,AKOLA,671135,294.4153725,27,1694,83.63348298,2091,7,26131,1073183,160077,34749,55314,9933,67.50059,3310.7498,39232,55885,85053,195492,1587,288574,558468,28222,3159.615727,384552,91,39.69,5.94,108.66,NA
2024-2025,Aug,18,MAHARASHTRA,1824,AMRAVATI,3497861,290.3892475,57,919,2648.534365,5666,10,45278,5017584,450541,53145,1735773,137512,203.26257,17422.32135,87684,165235,187313,525191,14527,470211,1056155,50944,14570.52442,2128464,78,37.59,19.33,130.82,NA
2024-2025,Aug,18,MAHARASHTRA,1826,WARDHA,742403,302.6817506,44,221,185.3650867,839,19,14233,1063531,71661,15071,70423,13121,99.78205,3504.261386,23759,37939,52952,129588,2023,220659,407081,15072,3219.114249,395540,89,79.74,0.19,104.56,NA
2024-2025,Aug,18,MAHARASHTRA,1831,NANDURBAR,645886,294.0707717,27,84,189.8969226,5137,18,42647,1172030,30945,10875,914339,282676,126.76807,3763.262659,42701,61717,142314,342724,689,527118,1075479,47784,3446.597666,484670,79,48.42,1.88,102.57,NA
2024-2025,Aug,18,MAHARASHTRA,1832,WASHIM,1602891,299.6973532,37,494,125.0690399,1695,2,26453,2003617,132540,19340,55775,6971,129.39513,6259.251288,54021,84833,82290,195426,1948,278859,554695,28148,6004.787118,799063,91,64.68,25.1,99.75,NA
2024-2025,Aug,18,MAHARASHTRA,1835,PALGHAR,2355566,271.407148,35,693,581.8050694,6859,26,32817,2298471,7611,1697,2135413,330450,355.69929,7175.718949,65317,120257,123454,368231,3354,307021,723027,39676,6238.214589,1319765,82,17.53,20.46,101.61,NA
2024-2025,Aug,18,MAHARASHTRA,1804,RATNAGIRI,206834,300.0246597,18,69,24.9989278,3256,60,25587,290880,9881,7565,3590,1154,52.85325,950.5639078,15852,22269,56123,126636,75,255437,473592,28843,872.71173,125745,96,53.58,0.26,103.46,NA
2024-2025,Aug,18,MAHARASHTRA,1805,SINDHUDURG,193630,298.2859942,26,75,56.6357499,1315,27,17302,244009,6589,3723,522,301,25.98993,810.4703515,9226,14766,37636,86626,199,129200,243187,18617,727.8446716,97017,79,76.83,6.23,100.9,NA
2024-2025,Aug,18,MAHARASHTRA,1806,NASHIK,1018719,299.7616407,30,423,1171.827886,8354,65,49081,1629759,21318,10879,636372,192681,200.04222,6257.262425,53534,83412,174499,489227,1611,691896,1473492,57435,4885.392319,573231,81,35.78,14.22,100.67,NA
2024-2025,Aug,18,MAHARASHTRA,1808,JALGAON,752245,300.3990205,28,106,456.9165576,2779,83,39621,1284943,61083,30761,90946,35919,98.05263,4414.925374,44663,66751,134767,331813,1644,667418,1260864,42400,3859.956186,485855,92,54.92,1.2,102.48,NA
2024-2025,Aug,18,MAHARASHTRA,1812,SANGLI,196802,295.3220884,27,30,211.7437716,2448,108,13671,332415,15768,7763,330,207,57.32999,1250.768682,12091,17038,45544,97515,129,314274,551364,16119,981.69492,114588,86,51.93,0.01,100.85,NA
2024-2025,Aug,18,MAHARASHTRA,1813,SOLAPUR,496222,354.7160361,31,105,378.1862009,1834,122,22142,821650,29372,14949,6552,2441,70.49548,3363.205992,26112,41376,80365,184789,1072,554367,960765,23976,2914.524311,281993,97,80.22,0,105.87,NA
2024-2025,Aug,18,MAHARASHTRA,1814,KOLHAPUR,180963,302.8530961,26,25,70.19454,524,278,11349,323780,33226,17945,509,295,29.22621,1079.998505,12406,19867,44885,108926,273,356034,629176,11873,980.5777547,127715,92,44.63,0.06,112.83,NA
2024-2025,Aug,18,MAHARASHTRA,1816,JALNA,2297799,296.3726096,37,286,519.9805466,1045,37,51628,3353833,84023,19884,15436,3047,136.50148,10596.32441,89541,159430,160737,429801,4802,476521,1073453,52673,9939.842383,1361856,76,53.69,0.44,100.58,NA
2024-2025,Aug,18,MAHARASHTRA,1818,BEED,4493149,363.5351226,35,462,1195.422418,1082,84,71990,5316969,90983,15465,10017,1844,78.94088,20603.41307,148374,254325,256915,629257,8066,677307,1401984,73072,19329.04977,2175873,80,41.77,5.54,317.6,NA
2024-2025,Aug,18,MAHARASHTRA,1827,NAGPUR,894111,281.8080831,35,249,327.2159117,2993,37,21220,1326998,158135,32810,163523,30408,121.0924,4187.895938,37177,52895,102184,233999,1891,280804,540700,24213,3739.587626,549067,83,62.15,1.16,101.99,NA
2024-2025,Aug,18,MAHARASHTRA,1829,CHANDRAPUR,3049650,245.9190754,40,672,370.138111,6844,16,31381,3921865,407344,63253,845069,106115,350.75473,10365.50699,95988,166239,171521,492614,5937,380696,914266,38225,9644.614147,2096274,79,29.38,19.06,102.05,NA
2024-2025,Aug,18,MAHARASHTRA,1834,HINGOLI,1375461,308.7666722,36,85,222.718756,2361,14,23869,1594917,225801,44223,253458,42147,87.87605,5235.166952,43541,70398,92949,237462,2143,259490,589378,26230,4924.572146,633675,90,74.78,0.14,102.22,NA
2024-2025,Aug,18,MAHARASHTRA,1807,DHULE,951485,300.2535979,37,104,74.90916,2700,15,28607,1448673,50853,16176,237442,69591,121.17395,4545.775915,38510,61097,92881,259681,2730,440338,929467,31307,4349.692805,542834,89,71.45,0.23,103.65,NA
2024-2025,Aug,18,MAHARASHTRA,1810,PUNE,206577,318.6432265,27,36,156.5402388,3319,409,21252,285628,14137,9979,31003,20223,76.10895,1142.783464,10371,16122,53531,141780,296,376929,810076,24571,910.134275,100578,93,68.13,0.01,104.76,NA
2024-2025,Aug,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,6423243,308.1714146,58,1345,1401.176305,3214,21,85455,8913747,193654,28299,124420,12309,375.78532,29246.58185,152358,272646,238273,633406,26205,685861,1458804,88669,27469.62023,3728199,95,82.77,0.2,109.74,NA
2024-2025,Aug,18,MAHARASHTRA,1822,BULDHANA,651794,300.3200964,20,129,394.6550768,4444,20,29661,1072815,74763,32526,24855,7334,43.65852,3660.192639,52912,74867,118521,287234,240,482474,1005569,34105,3221.879042,371851,93,39.67,0.94,99.88,NA
2024-2025,Aug,18,MAHARASHTRA,1825,YAVATMAL,2717844,298.4834693,36,531,145.528956,5635,8,44245,3993321,191168,37142,432376,71211,182.87779,12247.80981,110000,161085,212100,475761,4220,675711,1382221,49880,11919.40306,1616957,92,50.85,25.26,99.86,NA
2024-2025,Aug,18,MAHARASHTRA,1831,NANDURBAR,645886,294.1275089,27,85,189.8969226,5321,18,42546,1183310,31081,10887,922243,282843,126.76807,3797.105219,43000,62162,142431,342980,710,527154,1075538,47867,3480.440226,489100,79,48.39,1.86,102.6,NA
2024-2025,Aug,18,MAHARASHTRA,1833,GONDIA,3536257,210.2454902,36,320,1772.797832,4745,16,38228,5360007,442572,52261,866167,90213,197.72134,13239.69216,146874,229371,235850,609091,5009,352416,836325,42973,11269.17299,3581261,80,21.19,15.36,101.8,NA
2024-2025,Aug,18,MAHARASHTRA,1834,HINGOLI,1375461,308.6411879,36,85,222.718756,2398,14,23854,1597389,226361,44237,254071,42157,87.87605,5240.795192,43599,70484,92968,237506,2156,259524,589431,26252,4930.200386,634579,90,74.69,0.15,102.22,NA
2024-2025,Aug,18,MAHARASHTRA,1807,DHULE,951485,301.9334253,37,109,87.06575,2750,16,29254,1519489,54038,16297,250404,70114,153.22701,4828.137945,40087,63771,93688,261984,2916,440764,930421,32004,4587.845185,570727,89,70.24,0.22,103.83,NA
2024-2025,Aug,18,MAHARASHTRA,1809,AHMEDNAGAR,917771,321.7503141,30,97,769.9251961,3392,58,40411,1252206,70909,31974,45835,24677,208.45988,5007.361814,41492,68046,146215,422245,1582,767816,1900896,43803,4028.976738,500166,91,68.68,0.13,104.22,NA
2024-2025,Aug,18,MAHARASHTRA,1827,NAGPUR,894111,281.7362155,36,260,371.2921517,3262,36,21311,1400861,169222,32942,174389,30540,203.94549,4521.970408,38365,54539,102595,234866,2139,281061,541201,24573,3946.732766,578171,84,62.51,1.1,101.72,NA
2024-2025,Aug,18,MAHARASHTRA,1807,DHULE,951485,301.831612,37,109,87.06575,2750,16,29324,1527166,54355,16300,251435,70135,153.22701,4849.762515,40239,64043,93769,262201,2945,440998,930815,32074,4609.469755,573767,89,70.01,0.22,103.9,NA
2024-2025,Aug,18,MAHARASHTRA,1818,BEED,4493149,351.3882374,37,486,1287.978698,1119,79,74097,5812193,98338,15629,10929,1856,78.94088,21790.28212,154411,265775,258850,634492,9866,679225,1406074,75216,20423.36254,2382770,79,40.41,5.36,311.55,NA
2024-2025,Aug,18,MAHARASHTRA,1823,AKOLA,671135,294.3352052,28,1743,113.3605958,2397,7,26279,1131898,171299,34936,58339,9970,155.76096,3600.695856,40245,57403,85444,196377,1708,289277,559619,28676,3331.574301,405593,91,38.78,5.49,108.39,NA
2024-2025,Aug,18,MAHARASHTRA,1806,NASHIK,1018719,298.250352,30,447,1186.323846,8680,65,49490,1713471,23836,10997,667196,193414,251.43303,6548.190165,55633,86669,175516,491654,1764,693112,1475408,58170,5110.433288,602330,81,34.75,13.93,100.36,NA
2024-2025,Aug,18,MAHARASHTRA,1823,AKOLA,671135,295.2502801,27,1729,112.844663,2390,7,26126,1115203,167791,34850,57633,9967,155.76096,3561.245604,39887,56861,85284,196055,1680,289061,559248,28516,3292.639981,399699,91,38.8,5.57,108.38,NA
2024-2025,June,18,MAHARASHTRA,1803,RAIGAD,72785,312.4198533,18,40,5.52086,489,237,17850,81780,1618,2864,14320,13148,6.73044,267.748256,4536,7046,26687,62407,52,188811,341016,18339,255.496956,32924,68,58.64,9.2,102.12,NA
2024-2025,June,18,MAHARASHTRA,1816,JALNA,1397077,296.2297545,32,247,114.2230466,568,69,49339,2415206,62818,19658,10743,2992,136.07148,7404.853331,74573,133272,156054,419197,2775,469956,1064543,49907,7154.558805,987108,75,54.7,0.62,99.59,NA
2024-2025,June,18,MAHARASHTRA,1824,AMRAVATI,2478646,261.9444727,47,847,91.59595,2470,17,43400,3561615,304680,52111,1360997,136810,197.087,9618.136582,75263,143688,184065,516531,7922,468489,1052162,45870,9329.453632,1543673,77,40.52,27.9,117.57,NA
2024-2025,June,18,MAHARASHTRA,1828,BHANDARA,908537,167.325733,32,4893,117.99604,1843,10,18901,3840336,480589,58993,262946,33044,118.3161,6662.182502,117776,188809,185826,448653,2605,285382,627996,20744,6425.870362,2486075,76,24.99,26.99,100,NA
2024-2025,June,18,MAHARASHTRA,1829,CHANDRAPUR,1122569,231.8864638,36,603,69.840815,2383,40,31655,3107458,326659,62885,664733,105026,348.69651,7624.311795,86258,148321,169377,487585,3373,379556,912330,34038,7205.77447,1715698,77,28.76,25.24,99.88,NA
2024-2025,July,18,MAHARASHTRA,1818,BEED,4312433,365.0599985,34,454,338.4431333,933,89,71004,5065990,86664,15385,9259,1820,78.94088,18911.28703,145342,248833,255594,625878,7144,676707,1400580,71937,18493.90302,2073539,80,43.45,5.61,315.63,NA
2024-2025,July,18,MAHARASHTRA,1820,Dharashiv,907235,298.4112227,37,137,53.37524,1570,56,24867,1439247,85600,24441,5424,1137,73.83585,4422.085661,38872,59624,75498,194594,2176,325306,704620,26437,4294.874571,540606,81,57.73,0.12,109.44,NA
2024-2025,July,18,MAHARASHTRA,1827,NAGPUR,853129,282.229738,34,245,152.9898174,2815,43,21020,1266089,148946,32670,154384,30318,121.0924,3847.361884,36197,51428,101863,233292,1681,280492,540204,23835,3573.279667,524788,83,62.75,1.22,102.04,NA
2024-2025,July,18,MAHARASHTRA,1828,BHANDARA,3583157,178.1486259,36,5182,179.41948,4371,8,20853,4537092,541597,59235,310988,33165,205.09415,8467.280683,125805,204611,187149,451448,4465,285977,629060,25224,8082.767053,2877339,79,23.39,22.17,100.9,NA
2024-2025,July,18,MAHARASHTRA,1829,CHANDRAPUR,2897976,244.3029176,40,661,356.129861,5570,20,32039,3823738,396509,63213,822736,105906,350.75473,10048.38809,94670,163915,171170,491863,5620,380383,913833,37609,9341.503497,2054640,79,30.25,20.8,102.07,NA
2024-2025,July,18,MAHARASHTRA,1831,NANDURBAR,599764,294.9607285,26,81,189.8969226,4698,22,42450,1091183,28122,10840,855865,281675,125.28307,3533.741319,40661,58766,141648,341255,533,526567,1074585,47148,3218.561326,452521,79,48.66,1.97,102.2,NA
2024-2025,July,18,MAHARASHTRA,1832,WASHIM,1536064,299.7693562,37,483,100.8955499,1572,2,26207,1966895,128486,19218,54374,6911,129.39513,6126.439158,53157,83500,81929,194613,1894,278371,553821,27779,5896.148478,785257,91,64.81,25.67,99.74,NA
2024-2025,July,18,MAHARASHTRA,1834,HINGOLI,1309816,308.7380718,36,84,144.8142825,2326,15,23665,1571360,221086,44231,248387,42026,41.08041,5037.281258,42981,69518,92848,237326,2057,259294,589169,25991,4851.386566,624238,90,75.83,0.13,102.22,NA
2024-2025,July,18,MAHARASHTRA,1835,PALGHAR,2174266,271.0140125,34,693,533.4365944,6618,28,32889,2266416,7369,1693,2106178,330316,346.16486,7021.906395,64932,119531,123355,368074,3241,306346,722062,39507,6142.304941,1305881,82,17.07,21.49,101.64,NA
2023-2024,Dec,18,MAHARASHTRA,1812,SANGLI,482815,261.9373075,30,35,758.2695106,4430,13,14060,482753,40909,8701,779,240,58.17673,2080.956451,15891,23706,49127,105206,442,309146,542434,18490,1264.51021,178292,86,47.7,0.15,100.15,NA
2023-2024,Dec,18,MAHARASHTRA,1821,LATUR,3509931,264.5625907,50,190,3640.961557,5675,7,26784,3509931,438910,56289,40034,3966,329.00506,13255.931,69566,115465,116708,297943,9031,374100,803963,32459,9285.964385,1453789,87,62.94,0.54,99.77,NA
2023-2024,Dec,18,MAHARASHTRA,1826,WARDHA,803841,275.5137733,38,145,960.2342777,3591,7,10474,803982,95025,16421,73517,13394,131.7001,3307.015523,20626,34393,50043,122833,1401,210545,391044,14065,2215.081145,291860,88,68.33,0.44,102.78,NA
2023-2024,Dec,18,MAHARASHTRA,1831,NANDURBAR,1668461,259.9041693,26,112,3465.833646,14484,21,44789,1666787,50810,12406,1247592,343124,224.66555,8022.548102,63475,95247,169509,407801,1439,518861,1062703,59273,4332.048906,684662,81,27.33,3.11,103.01,NA
2024-2025,May,18,MAHARASHTRA,1804,RATNAGIRI,131712,296.9686455,12,31,1.45037,1910,249,25145,85506,2955,7386,855,1101,25.37627,280.75265,7114,9874,53295,120915,1,253991,471388,27055,253.92601,37050,96,60.99,0.06,99.9,NA
2024-2025,May,18,MAHARASHTRA,1812,SANGLI,137666,291.6096006,17,5,59.59668,402,365,14448,83599,4187,7411,20,191,29.09709,332.47648,4832,6625,42527,91144,3,311833,546792,14850,243.78271,28308,86,55.34,0,98.32,NA
2024-2025,May,18,MAHARASHTRA,1821,LATUR,1034508,303.1099636,23,100,2.75714,883,76,30762,1096551,86526,53277,11075,3922,138.12847,3464.640947,46678,74046,120112,303657,289,386426,822319,31645,3323.755337,429787,87,64.49,0,99.66,NA
2024-2025,May,18,MAHARASHTRA,1823,AKOLA,237617,278.6796163,14,650,18.3318766,260,99,21240,259748,44006,32043,15216,8911,37.83617,780.0327763,17683,24680,77708,178813,40,285975,553524,21500,723.8647297,92387,89,32.96,5.85,99.84,NA
2024-2025,May,18,MAHARASHTRA,1831,NANDURBAR,454947,295.4688015,15,30,6.14107,254,201,44209,258506,6553,10568,200075,273129,101.48255,871.4282,16261,23399,137060,330285,5,524714,1071362,44463,763.80458,107764,78,68.39,1.03,102.61,NA
2024-2025,May,18,MAHARASHTRA,1832,WASHIM,288476,299.5868491,23,271,54.12664992,46,67,21891,686759,43987,17555,18821,6030,72.51092,2184.077219,29731,46918,70467,168910,130,274656,546765,21937,2057.439649,275161,89,67.13,25.89,99.51,NA
2024-2025,May,18,MAHARASHTRA,1802,THANE,77451,281.6252021,18,19,9.70744,516,86,10924,96492,2687,3139,30147,30787,5.4996,286.95283,5150,8538,26404,85851,30,135648,322567,11440,271.74579,40003,93,57.76,2.42,99.56,NA
2024-2025,May,18,MAHARASHTRA,1809,AHMEDNAGAR,561704,358.0046281,19,38,55.2957,1160,387,38158,336130,19063,30574,10677,23404,94.84077,1353.497426,17564,29182,139406,402339,35,765307,1893819,39318,1203.360956,134926,90,74.76,0.15,101.78,NA
2024-2025,May,18,MAHARASHTRA,1813,SOLAPUR,227082,373.152706,18,50,6.48734,1001,377,20236,223377,7992,14114,2315,2329,69.67111,909.69577,11810,18269,73259,169577,18,548265,948505,21237,833.53732,75554,96,81.92,0,101.17,NA
2024-2025,May,18,MAHARASHTRA,1814,KOLHAPUR,99892,296.3219646,17,7,3.754,207,589,9903,75386,7516,16463,78,262,17.02066,244.1599362,4409,7000,40632,98596,14,353547,622733,10110,223.3852762,29569,91,49.89,0,101.66,NA
2024-2025,May,18,MAHARASHTRA,1819,NANDED,970344,300.2858222,18,80,69.4416525,103,361,45134,784509,79030,71542,54918,34431,140.57772,2565.788673,42020,65630,159841,427032,59,652344,1477889,45237,2355.769301,330736,86,61.33,2.11,105.93,NA
2024-2025,May,18,MAHARASHTRA,1825,YAVATMAL,958146,298.7524152,18,231,46.72236547,1518,212,36014,1091899,49971,36066,115517,67575,112.54859,3421.345589,57636,83480,192483,442959,61,670682,1384521,37532,3262.074634,442573,90,57.13,24.02,99.7,NA
2024-2025,May,18,MAHARASHTRA,1835,PALGHAR,1161646,263.9945365,22,541,20.17861,1021,81,36061,1188794,3423,1666,1114916,327224,87.7391,3246.26892,53192,96596,121380,364031,438,304555,719520,37082,3138.35121,700239,82,13.54,24.92,99.59,NA
2024-2025,May,18,MAHARASHTRA,1802,THANE,77451,294.314333,19,19,9.70744,519,83,10942,101612,2914,3139,31954,30822,5.4996,314.26572,5291,8746,26427,85932,33,135660,322607,11461,299.05868,42028,93,56.9,2.31,99.64,NA
2024-2025,May,18,MAHARASHTRA,1807,DHULE,324454,316.0445513,21,51,10.64509,560,98,26049,436385,15520,15165,69726,64530,101.60176,1491.417865,19843,31059,83639,234119,134,437476,921933,26609,1379.171015,164678,87,72.5,0.34,99.59,NA
2024-2025,May,18,MAHARASHTRA,1808,JALGAON,519829,311.9079863,16,51,63.54515,799,305,34540,354888,17199,29637,26864,34199,68.86798,1239.337145,21507,31954,125648,310734,78,662854,1251552,35339,1106.924015,133719,91,45.19,1.44,99.58,NA
2024-2025,May,18,MAHARASHTRA,1814,KOLHAPUR,99892,296.3565339,17,7,8.66627,207,581,9932,81630,8399,16519,78,262,18.90706,269.4891686,4548,7234,40722,98825,22,353635,622916,10139,241.9158386,31697,91,50.78,0,101.54,NA
2024-2025,May,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,2143023,303.5438711,28,955,128.7914461,814,43,78551,3228283,71262,27461,50176,11674,305.51977,10233.5664,111668,198316,224594,598775,1768,680634,1446314,79365,9799.255187,1353614,94,87.33,0.15,103.12,NA
2024-2025,May,18,MAHARASHTRA,1823,AKOLA,237617,281.1665085,15,707,27.2837366,260,80,21552,287360,48292,32159,17246,8979,38.16517,873.4089853,18938,26518,78052,179598,43,286080,553818,21812,807.9600787,102472,89,32.93,6.01,99.86,NA
2024-2025,April,18,MAHARASHTRA,1805,SINDHUDURG,44256,265.5947442,9,8,0.57214,252,325,17265,13172,401,3603,58,285,16.49258,52.0488597,1396,2177,35931,82838,0,128259,241412,17517,34.9841397,5363,78,80.74,3.28,100,NA
2024-2025,April,18,MAHARASHTRA,1811,SATARA,102635,352.8887889,9,14,14.25626,667,955,14087,37766,1636,10589,87,813,16.65007,164.17831,3866,5677,60680,135464,0,401557,756195,14754,133.27198,14841,86,65.71,0.33,100,NA
2024-2025,April,18,MAHARASHTRA,1822,BULDHANA,145465,350.0898254,9,13,2.90747,279,479,23060,58892,4008,29886,1547,6639,26.97699,236.05936,6439,8892,100782,244874,0,478017,995453,23339,206.1749,20295,92,46.89,0.37,100,NA
2024-2025,April,18,MAHARASHTRA,1824,AMRAVATI,1062277,413.0906785,15,194,1.92669,236,139,37985,312499,29597,50656,82253,134720,176.21001,1469.040939,20758,35629,176488,495417,5,467033,1045265,38221,1290.904239,126192,75,66.41,10.66,100,NA
2024-2025,April,18,MAHARASHTRA,1828,BHANDARA,389373,184.7077458,7,1406,75.52057,846,133,15241,262889,33073,57660,17495,32692,56.26942,617.3663358,33045,51160,181039,438372,0,285313,627745,16087,485.5763458,157276,78,22.35,16.87,100,NA
2024-2025,April,18,MAHARASHTRA,1832,WASHIM,144237,305.3835992,12,186,54.12664992,1,152,20452,230765,15099,16823,5964,5789,71.76102,830.6061326,18568,29197,66530,159407,0,273250,543461,20453,704.7184627,92815,88,66.34,27.26,100,NA
2024-2025,April,18,MAHARASHTRA,1833,GONDIA,675574,238.4152813,7,84,1126.197412,512,126,29059,253143,20475,51291,36997,88971,181.93613,1911.665138,35230,47295,230254,596341,0,350345,832046,29571,603.5315955,163270,78,21.89,16.36,100,NA
2024-2025,April,18,MAHARASHTRA,1803,RAIGAD,31194,396.2578753,12,21,0,175,568,17603,12171,217,2807,2045,12634,6.73044,54.958986,993,1477,25881,60645,0,187916,339284,17778,48.228546,4665,67,63.97,11.49,100,NA
2024-2025,April,18,MAHARASHTRA,1810,PUNE,59940,416.7672132,12,2,12.2368304,840,878,22051,44341,1713,9458,5820,19088,73.04545,270.0810304,3508,5491,50522,134357,0,373386,801940,22891,184.79875,15699,92,69.46,0,100.15,NA
2024-2025,April,18,MAHARASHTRA,1821,LATUR,517255,314.4495085,14,72,0,354,119,29951,505487,41589,52866,5566,3868,129.16378,1718.665167,34847,55117,117317,297389,6,385196,819572,30305,1589.501387,200192,87,62.96,0,100,NA
2024-2025,April,18,MAHARASHTRA,1824,AMRAVATI,1062277,341.6195907,16,264,1.92669,251,116,38391,435372,39950,50703,120495,134827,176.21001,1665.452745,26434,46463,176970,496690,13,467079,1045574,38642,1487.316045,176833,75,63.06,13.85,100.45,NA
2024-2025,April,18,MAHARASHTRA,1825,YAVATMAL,479073,301.8702385,12,109,0,1299,452,32911,366269,17930,35534,39943,66218,109.21002,1214.867124,29459,42464,185876,428565,0,669279,1381821,34210,1105.657104,147712,89,59.46,22.9,100,NA
2021-2022,Dec,18,MAHARASHTRA,1806,NASHIK,1990969,249.2853157,25,511,575.4485146,9367,17,36060,1482514,41690,13253,526239,220871,141.5245,4412.662719,58255,102216,166861,500819,1652,617825,1378485,45427,3695.689705,527030,81,62.16,41.06,100.35,NA
2021-2022,Dec,18,MAHARASHTRA,1809,AHMEDNAGAR,1840529,256.1392737,24,140,1037.832342,6544,10,38633,1499563,117991,41495,63972,24949,204.54725,5083.349368,61206,105060,154247,443415,1859,737119,1841089,45177,3840.969777,664937,79,66.34,57.62,102.57,NA
2021-2022,Dec,18,MAHARASHTRA,1821,LATUR,1477021,238.3244233,40,63,792.6257403,3111,7,14847,1468308,218279,59632,17743,3437,134.54982,4426.512134,36647,64691,89319,240435,2907,332813,740983,17958,3499.336573,622039,83,53.44,68.98,100.1,NA
2021-2022,Dec,18,MAHARASHTRA,1826,WARDHA,1078202,237.9378094,38,162,483.4597151,3539,10,10973,779812,96091,17375,76050,13982,84.55144,2423.478745,20278,37779,49110,122980,1677,194555,375643,14512,1855.46759,246642,86,65.06,70.15,101.3,NA
2021-2022,Dec,18,MAHARASHTRA,1835,PALGHAR,2179887,202.8016338,45,510,3234.381029,7368,7,33038,3025365,9056,1737,2836237,339377,119.76162,9489.632297,66680,146356,114316,375682,7602,277018,698164,40406,6135.489648,1623796,75,27.99,30.93,102.05,NA
2024-2025,April,18,MAHARASHTRA,1803,RAIGAD,31194,741.7324171,8,0,0,142,673,17548,2474,105,2800,441,12524,0,18.35046,275,409,25725,60299,0,187842,339141,17690,18.35046,859,67,75.14,0,100,NA
2024-2025,April,18,MAHARASHTRA,1809,AHMEDNAGAR,280852,833.6204092,9,7,33.95371,536,693,37732,41108,2987,30172,1694,23003,0,376.6383878,4301,6288,137230,395555,0,765113,1892658,38268,342.6846778,17425,90,61.56,0.53,100,NA
2024-2025,April,18,MAHARASHTRA,1817,PARBHANI,599162,1623.958113,9,10,245.5931931,116,261,34093,40317,1323,19434,283,2663,0,900.3243856,4275,6451,128883,292197,0,407855,791246,34209,654.7311925,15196,90,77.27,0,100,NA
2024-2025,April,18,MAHARASHTRA,1819,NANDED,485172,658.5576719,9,8,11.2103696,6,893,43373,35832,3395,70025,1475,33171,0,247.1847546,3954,5809,154238,413050,0,650776,1474157,43379,235.974385,15532,86,42.36,1.2,100,NA
2024-2025,April,18,MAHARASHTRA,1822,BULDHANA,145465,401.1472289,8,6,0,99,620,22789,29573,2140,29822,1124,6607,0,118.63127,3469,4772,99980,242991,0,477836,995008,22888,118.63127,9829,91,52.16,0.55,100,NA
2024-2025,April,18,MAHARASHTRA,1826,WARDHA,114833,306.5981167,10,33,0.55052,80,266,11149,49833,3550,13629,3251,11361,0,153.3375595,4646,6656,44471,109383,0,216503,397224,11229,152.7870395,18948,87,83.09,0.12,100,NA
2024-2025,April,18,MAHARASHTRA,1829,CHANDRAPUR,481101,254.6498767,9,131,22.242115,420,250,27164,217443,23457,61672,48889,102379,0,575.9604464,23565,37067,163753,472931,0,378199,908412,27584,553.7183314,111893,74,26.98,15.8,100,NA
2024-2025,April,18,MAHARASHTRA,1832,WASHIM,144237,322.3237573,9,147,54.12664992,1,187,20031,135490,9372,16629,3567,5749,0,490.8431086,13781,21565,65351,156513,0,272931,542632,20032,436.7164587,54468,88,65.47,27.47,100,NA
